Id,Sentiment,Text Tweet,cleaned_text,label,Text Tweet_len,punct,token,stop,stemmed
14,1,Trans7 Hitam Putih terbaik https://www.instagram.com/p/BTYyTXMgVKd/,trans  hitam putih terbaik https   www instagram com p btyytxmgvkd ,0.0,63,12.7,"['trans', 'hitam', 'putih', 'terbaik', 'https', 'www', 'instagram', 'com', 'p', 'btyytxmgvkd']","['trans', 'hitam', 'putih', 'terbaik', 'https', 'www', 'instagram', 'com', 'p', 'btyytxmgvkd']","['trans', 'hitam', 'putih', 'baik', 'https', 'www', 'instagram', 'com', 'p', 'btyytxmgvkd']"
15,1,Acara hitam putih paling bagus buat di lihat,acara hitam putih paling bagus buat di lihat,0.0,37,0.0,"['acara', 'hitam', 'putih', 'paling', 'bagus', 'buat', 'di', 'lihat']","['acara', 'hitam', 'putih', 'paling', 'bagus', 'buat', 'lihat']","['acara', 'hitam', 'putih', 'paling', 'bagus', 'buat', 'lihat']"
16,1,"@TRANS7 undang @DA3_Rafly di acara hitam putih ya,dia jebolan dangdut academi pinter nyanyi lagu india suaranya keren", trans  undang  da  rafly di acara hitam putih ya dia jebolan dangdut academi pinter nyanyi lagu india suaranya keren,0.0,101,4.0,"['trans', 'undang', 'da', 'rafly', 'di', 'acara', 'hitam', 'putih', 'ya', 'dia', 'jebolan', 'dangdut', 'academi', 'pinter', 'nyanyi', 'lagu', 'india', 'suaranya', 'keren']","['trans', 'undang', 'da', 'rafly', 'acara', 'hitam', 'putih', 'jebolan', 'dangdut', 'academi', 'pinter', 'nyanyi', 'lagu', 'india', 'suaranya', 'keren']","['trans', 'undang', 'da', 'rafly', 'acara', 'hitam', 'putih', 'jebol', 'dangdut', 'academi', 'pinter', 'nyanyi', 'lagu', 'india', 'suara', 'keren']"
17,1,"Bagus Rancangan Seperti ini di TRANS7 HitamPutih, Sambil2 Dakwah Hiburannya. Terima kasih Ustadz Wijayanto...",bagus rancangan seperti ini di trans  hitamputih  sambil  dakwah hiburannya  terima kasih ustadz wijayanto   ,0.0,96,5.2,"['bagus', 'rancangan', 'seperti', 'ini', 'di', 'trans', 'hitamputih', 'sambil', 'dakwah', 'hiburannya', 'terima', 'kasih', 'ustadz', 'wijayanto']","['bagus', 'rancangan', 'trans', 'hitamputih', 'dakwah', 'hiburannya', 'terima', 'kasih', 'ustadz', 'wijayanto']","['bagus', 'rancang', 'trans', 'hitamputih', 'dakwah', 'hibur', 'terima', 'kasih', 'ustadz', 'wijayanto']"
18,1,"Wah kapan Rihanna bisa jadi bintang tamu Hitam Putih kayak di @ASAL_Trans7. jadi kangen, kapan tayang lagi di @TRANS7?",wah kapan rihanna bisa jadi bintang tamu hitam putih kayak di  asal trans   jadi kangen  kapan tayang lagi di  trans  ,0.0,100,6.0,"['wah', 'kapan', 'rihanna', 'bisa', 'jadi', 'bintang', 'tamu', 'hitam', 'putih', 'kayak', 'di', 'asal', 'trans', 'jadi', 'kangen', 'kapan', 'tayang', 'lagi', 'di', 'trans']","['wah', 'kapan', 'rihanna', 'jadi', 'bintang', 'tamu', 'hitam', 'putih', 'kayak', 'asal', 'trans', 'jadi', 'kangen', 'kapan', 'tayang', 'trans']","['wah', 'kapan', 'rihanna', 'jadi', 'bintang', 'tamu', 'hitam', 'putih', 'kayak', 'asal', 'trans', 'jadi', 'kangen', 'kapan', 'tayang', 'trans']"
19,1,Terimakasih telah menonton Hitam Putih malam ini. Semoga dapat menginspirasi dan dapat memberikan pelajaran utk Sobat7. #RafatharonHP,terimakasih telah menonton hitam putih malam ini  semoga dapat menginspirasi dan dapat memberikan pelajaran utk sobat    rafatharonhp,0.0,117,2.6,"['terimakasih', 'telah', 'menonton', 'hitam', 'putih', 'malam', 'ini', 'semoga', 'dapat', 'menginspirasi', 'dan', 'dapat', 'memberikan', 'pelajaran', 'utk', 'sobat', 'rafatharonhp']","['terimakasih', 'menonton', 'hitam', 'putih', 'malam', 'semoga', 'menginspirasi', 'memberikan', 'pelajaran', 'utk', 'sobat', 'rafatharonhp']","['terimakasih', 'tonton', 'hitam', 'putih', 'malam', 'moga', 'inspirasi', 'beri', 'ajar', 'utk', 'sobat', 'rafatharonhp']"
20,1,Acara hitam putih di trans7 topiknya bagus nih. Ttg Kepribadian ganda.,acara hitam putih di trans  topiknya bagus nih  ttg kepribadian ganda ,0.0,60,3.3000000000000003,"['acara', 'hitam', 'putih', 'di', 'trans', 'topiknya', 'bagus', 'nih', 'ttg', 'kepribadian', 'ganda']","['acara', 'hitam', 'putih', 'trans', 'topiknya', 'bagus', 'nih', 'ttg', 'kepribadian', 'ganda']","['acara', 'hitam', 'putih', 'trans', 'topik', 'bagus', 'nih', 'ttg', 'pribadi', 'ganda']"
21,1,Nonton kisah anastasya wella di #hitamputihtrans7 seru bgt ya kisahnya. Punya 9 kepribadian berbeda.,nonton kisah anastasya wella di  hitamputihtrans  seru bgt ya kisahnya  punya   kepribadian berbeda ,0.0,87,3.4000000000000004,"['nonton', 'kisah', 'anastasya', 'wella', 'di', 'hitamputihtrans', 'seru', 'bgt', 'ya', 'kisahnya', 'punya', 'kepribadian', 'berbeda']","['nonton', 'kisah', 'anastasya', 'wella', 'hitamputihtrans', 'seru', 'bgt', 'kisahnya', 'punya', 'kepribadian', 'berbeda']","['nonton', 'kisah', 'anastasya', 'wella', 'hitamputihtrans', 'seru', 'bgt', 'kisah', 'punya', 'pribadi', 'beda']"
22,1,Yang bikin selalu rindu kalau jauh dari nya... #hitamputihtrans7,yang bikin selalu rindu kalau jauh dari nya     hitamputihtrans ,0.0,56,7.1,"['yang', 'bikin', 'selalu', 'rindu', 'kalau', 'jauh', 'dari', 'nya', 'hitamputihtrans']","['bikin', 'selalu', 'rindu', 'kalau', 'jauh', 'nya', 'hitamputihtrans']","['bikin', 'selalu', 'rindu', 'kalau', 'jauh', 'nya', 'hitamputihtrans']"
23,1,@HitamPutih wihh hebat kakek neneknya @TRANS7, hitamputih wihh hebat kakek neneknya  trans ,0.0,40,5.0,"['hitamputih', 'wihh', 'hebat', 'kakek', 'neneknya', 'trans']","['hitamputih', 'wihh', 'hebat', 'kakek', 'neneknya', 'trans']","['hitamputih', 'wihh', 'hebat', 'kakek', 'nenek', 'trans']"
24,1,Setelah menunggu sekian lama. Akhirnya @yukikatou2 nongol juga di HITAM PUTIH TRANS7,setelah menunggu sekian lama  akhirnya  yukikatou  nongol juga di hitam putih trans ,0.0,73,2.7,"['setelah', 'menunggu', 'sekian', 'lama', 'akhirnya', 'yukikatou', 'nongol', 'juga', 'di', 'hitam', 'putih', 'trans']","['menunggu', 'sekian', 'lama', 'akhirnya', 'yukikatou', 'nongol', 'hitam', 'putih', 'trans']","['tunggu', 'sekian', 'lama', 'akhir', 'yukikatou', 'nongol', 'hitam', 'putih', 'trans']"
25,1,makin asik hitam putih,makin asik hitam putih,0.0,19,0.0,"['makin', 'asik', 'hitam', 'putih']","['makin', 'asik', 'hitam', 'putih']","['makin', 'asik', 'hitam', 'putih']"
26,1,"Spensa Boys asal poso di hitam putih trans7 ASLI KALIAN KEREN!! yang pake kemeja biru putih, si gingsul ada salam dari sini",spensa boys asal poso di hitam putih trans  asli kalian keren   yang pake kemeja biru putih  si gingsul ada salam dari sini,0.0,102,2.9000000000000004,"['spensa', 'boys', 'asal', 'poso', 'di', 'hitam', 'putih', 'trans', 'asli', 'kalian', 'keren', 'yang', 'pake', 'kemeja', 'biru', 'putih', 'si', 'gingsul', 'ada', 'salam', 'dari', 'sini']","['spensa', 'boys', 'asal', 'poso', 'hitam', 'putih', 'trans', 'asli', 'kalian', 'keren', 'pake', 'kemeja', 'biru', 'putih', 'si', 'gingsul', 'salam', 'sini']","['spensa', 'boys', 'asal', 'poso', 'hitam', 'putih', 'trans', 'asli', 'kalian', 'keren', 'pake', 'kemeja', 'biru', 'putih', 'si', 'gingsul', 'salam', 'sini']"
27,1,Wahh asik nih vocalgrup #HitamPutih... thanks @TRANS7,wahh asik nih vocalgrup  hitamputih    thanks  trans ,0.0,47,10.6,"['wahh', 'asik', 'nih', 'vocalgrup', 'hitamputih', 'thanks', 'trans']","['wahh', 'asik', 'nih', 'vocalgrup', 'hitamputih', 'thanks', 'trans']","['wahh', 'asik', 'nih', 'vocalgrup', 'hitamputih', 'thanks', 'trans']"
28,1,setiap hari aku slalu nonton Hitam Putih di Trans7. Hbs acara nya bagus banget mas Dedy.,setiap hari aku slalu nonton hitam putih di trans   hbs acara nya bagus banget mas dedy ,0.0,73,2.7,"['setiap', 'hari', 'aku', 'slalu', 'nonton', 'hitam', 'putih', 'di', 'trans', 'hbs', 'acara', 'nya', 'bagus', 'banget', 'mas', 'dedy']","['hari', 'aku', 'slalu', 'nonton', 'hitam', 'putih', 'trans', 'hbs', 'acara', 'nya', 'bagus', 'banget', 'mas', 'dedy']","['hari', 'aku', 'slalu', 'nonton', 'hitam', 'putih', 'trans', 'hbs', 'acara', 'nya', 'bagus', 'banget', 'mas', 'dedy']"
29,1,Acara Hitam Putih di Trans7 malam ini pembahasannya MANTAB! Setuju kalau bakal diperbanyak yang mengulas hal semacam ini,acara hitam putih di trans  malam ini pembahasannya mantab  setuju kalau bakal diperbanyak yang mengulas hal semacam ini,0.0,103,1.0,"['acara', 'hitam', 'putih', 'di', 'trans', 'malam', 'ini', 'pembahasannya', 'mantab', 'setuju', 'kalau', 'bakal', 'diperbanyak', 'yang', 'mengulas', 'hal', 'semacam', 'ini']","['acara', 'hitam', 'putih', 'trans', 'malam', 'pembahasannya', 'mantab', 'setuju', 'kalau', 'bakal', 'diperbanyak', 'mengulas', 'semacam']","['acara', 'hitam', 'putih', 'trans', 'malam', 'bahas', 'mantab', 'tuju', 'kalau', 'bakal', 'banyak', 'ulas', 'macam']"
30,1,lg seru nonton hitam putih.. terus lanjut nonton on the spot @indahmariana19 @hitamputiht7 @trans7,lg seru nonton hitam putih   terus lanjut nonton on the spot  indahmariana    hitamputiht   trans ,0.0,85,5.8999999999999995,"['lg', 'seru', 'nonton', 'hitam', 'putih', 'terus', 'lanjut', 'nonton', 'on', 'the', 'spot', 'indahmariana', 'hitamputiht', 'trans']","['lg', 'seru', 'nonton', 'hitam', 'putih', 'terus', 'lanjut', 'nonton', 'on', 'the', 'spot', 'indahmariana', 'hitamputiht', 'trans']","['lg', 'seru', 'nonton', 'hitam', 'putih', 'terus', 'lanjut', 'nonton', 'on', 'the', 'spot', 'indahmariana', 'hitamputiht', 'trans']"
31,1,#HPJkt48 #JKT48HitamPutihT7 trio unyu di acara master Dedy.. Thanks #HitamPutih, hpjkt    jkt  hitamputiht  trio unyu di acara master dedy   thanks  hitamputih,0.0,70,7.1,"['hpjkt', 'jkt', 'hitamputiht', 'trio', 'unyu', 'di', 'acara', 'master', 'dedy', 'thanks', 'hitamputih']","['hpjkt', 'jkt', 'hitamputiht', 'trio', 'unyu', 'acara', 'master', 'dedy', 'thanks', 'hitamputih']","['hpjkt', 'jkt', 'hitamputiht', 'trio', 'unyu', 'acara', 'master', 'dedy', 'thanks', 'hitamputih']"
32,1,perusahaan jujur pasti punya pekerja yg jujur. #hitamPutihT7,perusahaan jujur pasti punya pekerja yg jujur   hitamputiht ,0.0,53,3.8,"['perusahaan', 'jujur', 'pasti', 'punya', 'pekerja', 'yg', 'jujur', 'hitamputiht']","['perusahaan', 'jujur', 'punya', 'pekerja', 'yg', 'jujur', 'hitamputiht']","['usaha', 'jujur', 'punya', 'kerja', 'yg', 'jujur', 'hitamputiht']"
33,1,"Keren, undang mereka dong di acara HitamPutih atau acara presiden @news_trans7",keren  undang mereka dong di acara hitamputih atau acara presiden  news trans ,0.0,68,4.3999999999999995,"['keren', 'undang', 'mereka', 'dong', 'di', 'acara', 'hitamputih', 'atau', 'acara', 'presiden', 'news', 'trans']","['keren', 'undang', 'dong', 'acara', 'hitamputih', 'acara', 'presiden', 'news', 'trans']","['keren', 'undang', 'dong', 'acara', 'hitamputih', 'acara', 'presiden', 'news', 'trans']"
34,1,Suka banget sama episode Hitam Putih malam ini! #HitamPutih_Trans7,suka banget sama episode hitam putih malam ini   hitamputih trans ,0.0,58,5.2,"['suka', 'banget', 'sama', 'episode', 'hitam', 'putih', 'malam', 'ini', 'hitamputih', 'trans']","['suka', 'banget', 'sama', 'episode', 'hitam', 'putih', 'malam', 'hitamputih', 'trans']","['suka', 'banget', 'sama', 'episode', 'hitam', 'putih', 'malam', 'hitamputih', 'trans']"
35,1,"Kangen jeketi jadi bintang tamu Hitam Putih Trans7, seru aja gitu pas jaman gen 1 diundang ke hitam putih",kangen jeketi jadi bintang tamu hitam putih trans   seru aja gitu pas jaman gen   diundang ke hitam putih,0.0,87,1.0999999999999999,"['kangen', 'jeketi', 'jadi', 'bintang', 'tamu', 'hitam', 'putih', 'trans', 'seru', 'aja', 'gitu', 'pas', 'jaman', 'gen', 'diundang', 'ke', 'hitam', 'putih']","['kangen', 'jeketi', 'jadi', 'bintang', 'tamu', 'hitam', 'putih', 'trans', 'seru', 'aja', 'gitu', 'pas', 'jaman', 'gen', 'diundang', 'hitam', 'putih']","['kangen', 'jeket', 'jadi', 'bintang', 'tamu', 'hitam', 'putih', 'trans', 'seru', 'aja', 'gitu', 'pas', 'jaman', 'gen', 'undang', 'hitam', 'putih']"
36,1,Terima kasih telah menyaksikan Hitam Putih hari ini. Semoga menginspirasi dan terhibur,terima kasih telah menyaksikan hitam putih hari ini  semoga menginspirasi dan terhibur,0.0,75,1.3,"['terima', 'kasih', 'telah', 'menyaksikan', 'hitam', 'putih', 'hari', 'ini', 'semoga', 'menginspirasi', 'dan', 'terhibur']","['terima', 'kasih', 'menyaksikan', 'hitam', 'putih', 'hari', 'semoga', 'menginspirasi', 'terhibur']","['terima', 'kasih', 'saksi', 'hitam', 'putih', 'hari', 'moga', 'inspirasi', 'hibur']"
37,1,makin ok saja hitam putih... mau donk di undang.....,makin ok saja hitam putih    mau donk di undang     ,0.0,44,18.2,"['makin', 'ok', 'saja', 'hitam', 'putih', 'mau', 'donk', 'di', 'undang']","['makin', 'hitam', 'putih', 'mau', 'donk', 'undang']","['makin', 'hitam', 'putih', 'mau', 'donk', 'undang']"
38,1,Sangat menginspirasi. #hitamputihtrans7 #FOCUS Hari ini banyak inspirasi buat saya,sangat menginspirasi   hitamputihtrans   focus hari ini banyak inspirasi buat saya,0.0,73,4.1000000000000005,"['sangat', 'menginspirasi', 'hitamputihtrans', 'focus', 'hari', 'ini', 'banyak', 'inspirasi', 'buat', 'saya']","['sangat', 'menginspirasi', 'hitamputihtrans', 'focus', 'hari', 'banyak', 'inspirasi', 'buat']","['sangat', 'inspirasi', 'hitamputihtrans', 'focus', 'hari', 'banyak', 'inspirasi', 'buat']"
39,1,seru nih hitam putih trans7 live,seru nih hitam putih trans  live,0.0,27,0.0,"['seru', 'nih', 'hitam', 'putih', 'trans', 'live']","['seru', 'nih', 'hitam', 'putih', 'trans', 'live']","['seru', 'nih', 'hitam', 'putih', 'trans', 'live']"
40,1,Bersyukurlah kita hidup di Indonesia #hitamputihtrans7,bersyukurlah kita hidup di indonesia  hitamputihtrans ,0.0,49,2.0,"['bersyukurlah', 'kita', 'hidup', 'di', 'indonesia', 'hitamputihtrans']","['bersyukurlah', 'hidup', 'indonesia', 'hitamputihtrans']","['syukur', 'hidup', 'indonesia', 'hitamputihtrans']"
41,1,"Setuju banget sama ucapan deddy corbuzier di Hitam Putih Trans7 hr ini. Guru tak perlu diberikan tanda jasa, cukup naikan gaji",setuju banget sama ucapan deddy corbuzier di hitam putih trans  hr ini  guru tak perlu diberikan tanda jasa  cukup naikan gaji,0.0,106,1.9,"['setuju', 'banget', 'sama', 'ucapan', 'deddy', 'corbuzier', 'di', 'hitam', 'putih', 'trans', 'hr', 'ini', 'guru', 'tak', 'perlu', 'diberikan', 'tanda', 'jasa', 'cukup', 'naikan', 'gaji']","['setuju', 'banget', 'sama', 'ucapan', 'deddy', 'corbuzier', 'hitam', 'putih', 'trans', 'hr', 'guru', 'tak', 'perlu', 'diberikan', 'tanda', 'jasa', 'cukup', 'naikan', 'gaji']","['tuju', 'banget', 'sama', 'ucap', 'deddy', 'corbuzier', 'hitam', 'putih', 'trans', 'hr', 'guru', 'tak', 'perlu', 'beri', 'tanda', 'jasa', 'cukup', 'naik', 'gaji']"
42,1,selamat siang selamat beraktivitas juga kami selalu menunggu hitam putih di chaenel kesayangan trans7,selamat siang selamat beraktivitas juga kami selalu menunggu hitam putih di chaenel kesayangan trans ,0.0,88,0.0,"['selamat', 'siang', 'selamat', 'beraktivitas', 'juga', 'kami', 'selalu', 'menunggu', 'hitam', 'putih', 'di', 'chaenel', 'kesayangan', 'trans']","['selamat', 'siang', 'selamat', 'beraktivitas', 'selalu', 'menunggu', 'hitam', 'putih', 'chaenel', 'kesayangan', 'trans']","['selamat', 'siang', 'selamat', 'aktivitas', 'selalu', 'tunggu', 'hitam', 'putih', 'chaenel', 'sayang', 'trans']"
43,1,Ada @Stefan0Lilipaly & @andik_vermansah di #HitamPutihT7 Keren.. !!!,ada  stefan lilipaly    andik vermansah di  hitamputiht  keren      ,0.0,61,16.400000000000002,"['ada', 'stefan', 'lilipaly', 'andik', 'vermansah', 'di', 'hitamputiht', 'keren']","['stefan', 'lilipaly', 'andik', 'vermansah', 'hitamputiht', 'keren']","['stefan', 'lilipaly', 'andik', 'vermansah', 'hitamputiht', 'keren']"
44,1,"nonton trans7 hitam putih keren abis jesika cantik, dedy ganteng @hitamputihtrans7",nonton trans  hitam putih keren abis jesika cantik  dedy ganteng  hitamputihtrans ,0.0,72,2.8000000000000003,"['nonton', 'trans', 'hitam', 'putih', 'keren', 'abis', 'jesika', 'cantik', 'dedy', 'ganteng', 'hitamputihtrans']","['nonton', 'trans', 'hitam', 'putih', 'keren', 'abis', 'jesika', 'cantik', 'dedy', 'ganteng', 'hitamputihtrans']","['nonton', 'trans', 'hitam', 'putih', 'keren', 'abis', 'jesika', 'cantik', 'dedy', 'ganteng', 'hitamputihtrans']"
45,1,acara hitam putih memang oke,acara hitam putih memang oke,0.0,24,0.0,"['acara', 'hitam', 'putih', 'memang', 'oke']","['acara', 'hitam', 'putih', 'memang', 'oke']","['acara', 'hitam', 'putih', 'memang', 'oke']"
46,1,"Yuk tweeps merapat, sebentar lagi Hitam Putih akan LIVE!",yuk tweeps merapat  sebentar lagi hitam putih akan live ,0.0,48,4.2,"['yuk', 'tweeps', 'merapat', 'sebentar', 'lagi', 'hitam', 'putih', 'akan', 'live']","['yuk', 'tweeps', 'merapat', 'sebentar', 'hitam', 'putih', 'live']","['yuk', 'tweeps', 'rapat', 'sebentar', 'hitam', 'putih', 'live']"
47,1,"Tweeps terima kasih sudah menyaksikan Hitam Putih hari ini, besok kembali Live di @TRANS7 #HPViral",tweeps terima kasih sudah menyaksikan hitam putih hari ini  besok kembali live di  trans   hpviral,0.0,84,3.5999999999999996,"['tweeps', 'terima', 'kasih', 'sudah', 'menyaksikan', 'hitam', 'putih', 'hari', 'ini', 'besok', 'kembali', 'live', 'di', 'trans', 'hpviral']","['tweeps', 'terima', 'kasih', 'menyaksikan', 'hitam', 'putih', 'hari', 'besok', 'live', 'trans', 'hpviral']","['tweeps', 'terima', 'kasih', 'saksi', 'hitam', 'putih', 'hari', 'besok', 'live', 'trans', 'hpviral']"
48,1,#hitamputihtrans7 emang selalu keren.. siapapun tamunya.., hitamputihtrans  emang selalu keren   siapapun tamunya  ,0.0,52,9.6,"['hitamputihtrans', 'emang', 'selalu', 'keren', 'siapapun', 'tamunya']","['hitamputihtrans', 'emang', 'selalu', 'keren', 'siapapun', 'tamunya']","['hitamputihtrans', 'emang', 'selalu', 'keren', 'siapa', 'tamu']"
49,1,"subhanallah, ni anak2 karunia yg tak ada bandingnya... trans7 hitamputih",subhanallah  ni anak  karunia yg tak ada bandingnya    trans  hitamputih,0.0,63,6.3,"['subhanallah', 'ni', 'anak', 'karunia', 'yg', 'tak', 'ada', 'bandingnya', 'trans', 'hitamputih']","['subhanallah', 'ni', 'anak', 'karunia', 'yg', 'tak', 'bandingnya', 'trans', 'hitamputih']","['subhanallah', 'ni', 'anak', 'karunia', 'yg', 'tak', 'banding', 'trans', 'hitamputih']"
50,1,"Sangat terkesan setelah mendengar salah satu dr mereka, jika saya adalah orang yg... maju terus hitam putih semoga sukses slalu",sangat terkesan setelah mendengar salah satu dr mereka  jika saya adalah orang yg    maju terus hitam putih semoga sukses slalu,0.0,108,3.6999999999999997,"['sangat', 'terkesan', 'setelah', 'mendengar', 'salah', 'satu', 'dr', 'mereka', 'jika', 'saya', 'adalah', 'orang', 'yg', 'maju', 'terus', 'hitam', 'putih', 'semoga', 'sukses', 'slalu']","['sangat', 'terkesan', 'mendengar', 'salah', 'satu', 'dr', 'orang', 'yg', 'maju', 'terus', 'hitam', 'putih', 'semoga', 'sukses', 'slalu']","['sangat', 'kes', 'dengar', 'salah', 'satu', 'dr', 'orang', 'yg', 'maju', 'terus', 'hitam', 'putih', 'moga', 'sukses', 'slalu']"
51,0,"Hitam putih bego, haruka diundang bentar biar pd liat younglex, udah gt malah dihina, Bego",hitam putih bego  haruka diundang bentar biar pd liat younglex  udah gt malah dihina  bego,,76,3.9,"['hitam', 'putih', 'bego', 'haruka', 'diundang', 'bentar', 'biar', 'pd', 'liat', 'younglex', 'udah', 'gt', 'malah', 'dihina', 'bego']","['hitam', 'putih', 'bego', 'haruka', 'diundang', 'bentar', 'biar', 'pd', 'liat', 'younglex', 'udah', 'gt', 'malah', 'dihina', 'bego']","['hitam', 'putih', 'bego', 'haruka', 'undang', 'bentar', 'biar', 'pd', 'liat', 'younglex', 'udah', 'gt', 'malah', 'hina', 'bego']"
